SITE_ID,SITE_NUM,SITE_NAME,ACTIVE,INACTIVE,AGENCY,STATE,COUNTY,TIME_ZONE,LATITUDE,LONGITUDE,ELEVATION,MAPID,LAND_USE,TERRAIN,MLM,NADP_ID,NADP_DISTANCE,UPDATE_DATE
WFM105,105,Whiteface Mountain,dm,o,EPA,NY,Essex,EA,44.39,-73.86,570.0,"Wilmington, NY",Forest,Complex,No,NY98,0.37,2020-01-30 13:25:29
WNC429,429,Wind Cave NP,om,d,NPS,SD,Custer,MO,43.557639,-103.483856,1292.0,,Prairie,Rolling,Mixed,SD04,0.013,2023-01-11 13:06:36
WPA103,103,West Point A,,dom,EPA,NY,Orange,EA,41.35,-74.05,203.0,,Forest,Complex,No,NY99,0.181,2020-01-30 13:25:29
WPB104,104,West Point B,,dom,EPA,NY,Orange,EA,41.35,-74.05,203.0,"Popolopen Lake, NY",Forest,Complex,No,NY99,0.181,2020-01-30 13:25:29
WSP144,144,Wash. Crossing,dom,,EPA,NJ,Mercer,EA,40.312303,-74.872663,59.0,"Pennington, NJ",Range,Rolling,Mixed,NJ99,1.656,2020-01-30 13:25:29
WST109,109,Woodstock,dom,,EPA,NH,Grafton,EA,43.944519,-71.700787,255.0,"Woodstock, NH",Forest,Complex,No,NH02,0.217,2020-01-30 13:25:29
YEL408,408,Yellowstone NP,dom,,NPS,WY,Teton,MO,44.565356,-110.400338,2430.0,,Agric,Rolling,No,WY08,39.065,2020-01-30 13:25:29
YOS204,204,Yosemite NP Collocated,,o,NPS,CA,Mariposa,PA,37.7133,-119.7061,1605.0,,Forest,Complex,No,CA99,16.244,2020-01-30 13:25:29
YOS404,404,Yosemite NP - Turtleback Dome,dom,,NPS,CA,Mariposa,PA,37.713251,-119.706196,1605.0,,Forest,Complex,No,CA99,16.241,2020-01-30 13:25:29
ZIO433,433,Zion NP - Dalton's Wash,om,,NPS,UT,Washington,MO,37.1983,-113.1506,1213.0,,Desert,Complex,No,UT99,98.335,2021-01-02 07:37:09
